"ST_CASE","PERSONS","FATALS","ROUTE","MAN_COLL","LGT_COND","WEATHERlight","BODY_TYP","AGE","INJ_SEV","DRINKING","TRAV_SP","L_TYPE","VSPD_LIM","fata_rate"
10014,5,1,"LOCAL","front","dark","light","small",25,"dead","Yes",60,"Licensed",60,20.00
10015,3,1,"highway","front","light","light","small",38,"dead","Yes",40,"Licensed",40,33.33
10029,2,1,"LOCAL","front","light","light","small",46,"dead","NO",65,"Licensed",55,50.00
10042,3,1,"LOCAL","front","dark","light","small",27,"injured","Yes",30,"Licensed",55,33.33
10050,2,1,"LOCAL","front","dark","light","small",31,"dead","NO",85,"Licensed",70,50.00
10064,3,1,"highway","side","dark","light","LORRY",41,"injured","Yes",35,"Licensed",35,33.33
10082,7,2,"LOCAL","front","dark","light","small",19,"dead","Yes",70,"Licensed",55,28.57
10112,3,1,"LOCAL","front","dark","light","small",22,"injured","Yes",50,"Licensed",45,33.33
10119,2,1,"highway","front","light","light","LORRY",23,"injured","NO",1,"Licensed",35,50.00
10143,2,1,"highway","front","dark","light","small",27,"injured","NO",10,"Licensed",45,50.00
10150,2,1,"LOCAL","front","light","light","LORRY",29,"dead","NO",65,"Licensed",55,50.00
10151,2,1,"LOCAL","front","light","light","small",21,"injured","NO",55,"Licensed",55,50.00
10152,2,1,"LOCAL","front","light","light","small",72,"dead","NO",40,"Licensed",55,50.00
10155,3,1,"LOCAL","front","light","light","small",21,"injured","NO",50,"Licensed",55,33.33
10159,5,4,"LOCAL","front","light","light","small",25,"injured","NO",60,"Licensed",55,80.00
10171,2,1,"LOCAL","front","dark","mod","small",24,"injured","NO",50,"Licensed",70,50.00
10185,2,1,"LOCAL","front","light","mod","small",18,"dead","NO",55,"Licensed",55,50.00
10188,4,1,"LOCAL","front","dark","light","small",39,"injured","Yes",46,"Licensed",45,25.00
10190,4,2,"LOCAL","front","light","light","small",70,"injured","NO",48,"Licensed",55,50.00
10203,6,1,"highway","front","light","light","small",64,"injured","Yes",15,"Licensed",45,16.67
10206,2,1,"highway","front","light","light","small",26,"injured","NO",55,"Licensed",55,50.00
10210,3,1,"highway","front","dark","light","small",25,"dead","NO",50,"Licensed",40,33.33
10211,4,1,"highway","front","light","light","small",82,"dead","NO",5,"Licensed",40,25.00
10212,3,1,"LOCAL","front","dark","light","small",63,"dead","NO",50,"Licensed",55,33.33
10224,2,1,"highway","side","dark","light","LORRY",66,"dead","NO",35,"Licensed",35,50.00
10225,4,1,"LOCAL","front","dark","light","small",52,"injured","NO",55,"Licensed",55,25.00
10227,6,1,"LOCAL","front","dark","light","small",18,"injured","NO",90,"Licensed",70,16.67
10243,2,1,"LOCAL","front","dark","light","small",21,"dead","Yes",65,"Licensed",55,50.00
10253,2,1,"LOCAL","front","light","light","small",22,"injured","NO",55,"Licensed",55,50.00
10269,3,1,"LOCAL","front","light","light","small",49,"injured","NO",50,"Licensed",65,33.33
10291,2,1,"highway","front","light","light","small",69,"dead","NO",55,"Licensed",55,50.00
10307,4,1,"LOCAL","side","light","light","small",31,"injured","NO",70,"Licensed",70,25.00
10323,5,4,"LOCAL","front","light","light","small",21,"dead","NO",55,"Licensed",55,80.00
10340,4,1,"LOCAL","front","light","light","small",33,"injured","NO",53,"Licensed",55,25.00
10359,3,1,"LOCAL","front","light","light","small",22,"injured","NO",70,"Licensed",65,33.33
10374,3,1,"highway","side","light","light","small",31,"dead","NO",50,"Licensed",30,33.33
10389,3,1,"highway","front","dark","light","small",18,"dead","NO",65,"Licensed",45,33.33
10397,6,1,"LOCAL","front","light","light","small",43,"injured","NO",60,"Licensed",55,16.67
10400,2,2,"LOCAL","front","light","light","small",21,"dead","NO",55,"Licensed",55,100.00
10445,6,1,"highway","front","light","light","LORRY",22,"dead","Yes",45,"Licensed",45,16.67
10452,3,1,"highway","front","light","light","small",45,"injured","NO",55,"Licensed",45,33.33
10468,6,1,"LOCAL","front","dark","light","small",19,"injured","Yes",91,"No Lic",70,16.67
10485,3,1,"LOCAL","front","light","light","small",52,"injured","NO",55,"Licensed",55,33.33
10490,2,1,"LOCAL","front","light","mod","LORRY",40,"dead","Yes",55,"Licensed",55,50.00
10519,2,1,"LOCAL","front","dark","light","small",36,"injured","Yes",80,"Licensed",70,50.00
10540,4,1,"highway","front","light","light","small",44,"dead","NO",60,"Licensed",50,25.00
10565,2,1,"LOCAL","front","light","light","small",48,"dead","NO",55,"Licensed",55,50.00
10570,9,1,"LOCAL","front","light","light","small",20,"injured","NO",55,"No Lic",55,11.11
10572,9,2,"LOCAL","side","light","light","small",49,"injured","Yes",65,"Licensed",65,22.22
10580,2,1,"LOCAL","front","dark","light","small",20,"injured","NO",55,"Licensed",55,50.00
10586,3,1,"highway","front","light","mod","small",46,"dead","NO",55,"Licensed",55,33.33
10600,4,1,"LOCAL","front","light","light","small",21,"dead","NO",70,"Licensed",70,25.00
10601,3,1,"LOCAL","front","light","light","small",28,"injured","NO",70,"Licensed",55,33.33
10636,4,1,"highway","front","dark","light","small",19,"injured","NO",50,"Licensed",45,25.00
10653,4,1,"LOCAL","front","dark","light","small",20,"dead","NO",55,"Licensed",55,25.00
10665,4,1,"LOCAL","front","light","light","small",21,"injured","NO",60,"Licensed",55,25.00
10690,3,1,"LOCAL","front","light","light","small",18,"injured","NO",90,"Licensed",70,33.33
10693,5,1,"LOCAL","front","dark","light","small",17,"injured","NO",80,"Licensed",70,20.00
10697,2,1,"LOCAL","front","dark","light","LORRY",33,"dead","NO",75,"Licensed",70,50.00
10707,10,1,"LOCAL","front","light","light","small",79,"injured","NO",15,"Licensed",45,10.00
10711,4,1,"LOCAL","front","dark","light","small",44,"dead","NO",70,"Licensed",55,25.00
10739,4,1,"LOCAL","front","light","light","LORRY",31,"dead","NO",50,"Licensed",50,25.00
10787,3,1,"LOCAL","side","dark","light","small",33,"injured","NO",100,"Licensed",70,33.33
10801,3,1,"highway","front","light","light","small",83,"injured","NO",35,"Licensed",45,33.33
10815,2,1,"LOCAL","side","dark","light","small",32,"dead","NO",65,"Licensed",55,50.00
10830,2,1,"LOCAL","front","light","light","small",77,"injured","NO",60,"Licensed",55,50.00
10831,4,1,"LOCAL","front","light","light","small",20,"dead","NO",75,"Licensed",55,25.00
10833,5,2,"LOCAL","front","dark","light","small",59,"injured","Yes",85,"Licensed",65,40.00
10844,3,1,"LOCAL","front","light","light","small",52,"injured","NO",80,"Licensed",70,33.33
10845,5,1,"LOCAL","front","dark","mod","LORRY",58,"dead","NO",55,"Licensed",70,20.00
10846,3,1,"LOCAL","front","light","light","small",19,"injured","NO",55,"Licensed",45,33.33
10850,2,2,"LOCAL","front","light","light","small",54,"dead","Yes",55,"Licensed",55,100.00
10872,2,1,"highway","front","light","light","LORRY",19,"dead","NO",40,"Licensed",40,50.00
10873,3,1,"LOCAL","side","light","light","small",32,"dead","Yes",65,"No Lic",55,33.33
10876,2,1,"LOCAL","front","dark","light","small",78,"dead","NO",70,"Licensed",55,50.00
10888,2,1,"LOCAL","front","light","light","small",49,"injured","NO",10,"Licensed",45,50.00
10915,2,1,"LOCAL","front","dark","light","small",45,"injured","NO",65,"Licensed",55,50.00
10924,10,1,"LOCAL","front","light","light","LORRY",35,"dead","NO",70,"Licensed",50,10.00
10928,7,1,"LOCAL","side","dark","light","small",29,"injured","NO",85,"Licensed",70,14.29
10933,2,1,"LOCAL","front","light","light","LORRY",48,"dead","NO",65,"Licensed",55,50.00
10936,2,1,"LOCAL","front","dark","light","small",33,"dead","NO",50,"Licensed",55,50.00
40013,4,1,"highway","front","dark","light","small",30,"injured","Yes",90,"Licensed",40,25.00
40033,3,1,"highway","side","light","light","small",20,"injured","NO",5,"Licensed",40,33.33
40038,2,1,"highway","front","light","light","small",38,"injured","NO",60,"Licensed",50,50.00
40051,3,1,"highway","front","dark","light","LORRY",36,"injured","Yes",60,"Licensed",25,33.33
40055,3,1,"highway","front","light","light","small",80,"injured","NO",10,"Licensed",40,33.33
40098,3,1,"LOCAL","front","light","light","small",59,"injured","NO",60,"Licensed",50,33.33
40107,5,1,"highway","front","light","mod","small",999,"injured","NO",50,"No Lic",50,20.00
40139,2,1,"LOCAL","front","dark","light","small",24,"injured","Yes",70,"Licensed",45,50.00
40168,2,1,"LOCAL","front","light","light","small",46,"injured","NO",65,"Licensed",55,50.00
40176,2,1,"highway","front","light","light","LORRY",71,"dead","NO",45,"Licensed",45,50.00
40184,2,1,"LOCAL","front","light","light","small",31,"injured","NO",50,"Licensed",55,50.00
40230,5,1,"LOCAL","front","dark","light","small",33,"injured","Yes",100,"Licensed",65,20.00
40268,5,1,"highway","front","light","light","small",36,"injured","NO",114,"Licensed",30,20.00
40335,4,2,"highway","side","light","light","small",57,"dead","NO",72,"Licensed",35,50.00
40408,8,2,"LOCAL","front","light","light","small",22,"injured","NO",70,"Licensed",40,25.00
40420,2,1,"highway","front","light","light","small",25,"injured","NO",53,"Licensed",55,50.00
40485,3,1,"highway","front","light","light","small",26,"injured","NO",71,"Licensed",45,33.33
40542,12,1,"LOCAL","side","dark","light","small",36,"injured","NO",60,"Licensed",65,8.33
